paper_id,duration,trt_id,year,fert_app,fert_type,fert_type_detail,fert_rate,fert_nitrogen,fert_phosphorus,fert_potassium,fert_carbon,fert_date,trt_name,trt_other_description
5029,2013-1,3,1,broadcast and hand hoed (0-15 cm) to incorporate,Green Manure;Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,"high quality Tithonia diversifolia (C/N ratio: 13, Lignin: 8.9%; Polyphenols: 1.7%), 4 Mg C/ha/a; 60 kg P/ha/season; 60 kg K/ha/season",NA,Present,60 kg P/ha/season,60 kg K/ha/season,Present,NA,TD,NA
5030,2009-4,0,1;2;3;4,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5030,2009-4,1,1;2;3;4,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,unspecified NPK fertilizer,"100 kg N/ha , 30 kg P/ ha , 60 kg K/ha",100 kg N/ha,30 kg P/ ha,60 kg K/ha,Absent,NA,NA,NA
5031,2004-11,0,1;2;3;4;5;6;7;8;9;10;11,NA,Potassium Mineral Fertilizer,potassium chloride fertilizer,60 kg K/ha,Absent,Absent,60 kg K/ha,Absent,NA,NA,NA
5031,2004-11,1,1;2;3;4;5;6;7;8;9;10;11,NA,Animal Manure; Potassium Mineral Fertilizer,farm yard manure; potassium chloride fertilizer,4 Mg/ha,Present,Present,Present,Present,NA,NA,NA
5031,2004-11,2,1;2;3;4;5;6;7;8;9;10;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5031,2004-11,3,1;2;3;4;5;6;7;8;9;10;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5031,2004-11,4,1;2;3;4;5;6;7;8;9;10;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5031,2004-11,5,1;2;3;4;5;6;7;8;9;10;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5031,2004-11,6,1;2;3;4;5;6;7;8;9;10;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5032,2005-9,0,1;2;3;4;5;6;7;8;9,NA,Unamended,unfertilized,NA,Absent,Absent,Absent,Absent,NA,No Fertilizer,NA
5032,2005-8,1,1;2;3;4;5;6;7;8;9,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,urea; triple super phosphate; muriate of potash,120 kg N/ha; 100 kg P/ha; 100 kg K/ha,120 kg N/ha,100 kg P/ha,100 kg K/ha,Absent,NA,Fertilizer,NA
5032,2005-8,2,1;2,NA,Incinerated Organics,Eucalyptus saligna Sm. Wood biochar,at 6 t C/ha for three consecutive season,15.5 kg N/ha,2.1 kg P/ha,19.0 kg K/ha,851  g/kg,NA,Biochar,NA
