paper_id,duration,trt_id,year,cover_soilprep,cover_plantdate,cover_plantimplement,cover_fertilizer,cover_type,cover_mixture,cover_seeddensity,termination,herbicide,termination_timing,trt_other_description
4019,2002-3,1,1;2;3,NA,NA,NA,NA,intercrop,sorghum; Desmodium intortum,"30 cm in row, 60 cm row to row; 60 cm to sorghum rows",NA,NA,NA,NA
4020,35855,0,1;2;3,NA,NA,NA,NA,monocrop,maize,"25 cm in row, 75 cm row to row",NA,NA,NA,NA
4020,35856,1,1;2,NA,NA,NA,NA,intercrop,maize; soybean,"25 cm in row with 75 cm row to row, alternating rows",NA,NA,NA,NA
4020,35857,2,1;2,NA,NA,NA,NA,intercrop,maize; sun hemp,"25 cm in row with 75 cm row to row, alternating rows",NA,NA,NA,NA
4020,35858,3,1;2,NA,NA,NA,NA,intercrop,maize; cowpea,"25 cm in row with 75 cm row to row, alternating rows",NA,NA,NA,NA
4020,35859,4,1;2;3,NA,NA,NA,NA,alley crop,maize; Desmodium uncinatum,"25 cm in row with 75 cm row to row, alternating rows",NA,NA,NA,NA
4020,35860,5,1;2,NA,NA,NA,NA,alley crop,maize; Desmodium intortum,"25 cm in row with 75 cm row to row, alternating rows",NA,NA,NA,NA
4020,35861,6,2;3,NA,NA,NA,0 kg N/ha,NA,NA,NA,NA,NA,NA,NA
4020,35862,7,2;3,NA,NA,NA,120 kg N/ha,NA,NA,NA,NA,NA,NA,NA
4021,39814,0,1,NA,NA,NA,NA,monocrop,french bean,"50 x 10 cm (rows x plants), 10 rows; 30 cm between plants",NA,NA,NA,NA
4021,39815,1,1,NA,NA,NA,NA,intercrop,french bean; sunflower,"50 x 10 cm (rows x plants), 10 rows; 30 cm between plants",NA,NA,NA,NA
4021,39816,2,1,NA,NA,NA,NA,intercrop,french bean; baby corn,"50 x 10 cm (rows x plants), 10 rows; 30 cm between plants",NA,NA,NA,NA
4021,39817,3,1,NA,NA,NA,NA,intercrop,french bean; irish potato,"50 x 10 cm (rows x plants), 10 rows; 30 cm between plants",NA,NA,NA,NA
4021,39818,4,1,NA,NA,NA,NA,intercrop,french bean; sunflower; baby corn,"50 x 10 cm (rows x plants), 10 rows; 30 cm between plants",NA,NA,NA,NA
4021,39819,5,1,NA,NA,NA,NA,intercrop,french bean; sunflower; irish potato,"50 x 10 cm (rows x plants), 10 rows; 30 cm between plants",NA,NA,NA,NA
4022,2016-3,0,1;2;3,NA,NA,NA,NA,monocrop,potato,30 cm in row and 75 cm between rows,NA,NA,NA,NA
4022,2016-3,1,1;2;3,NA,NA,NA,NA,monocrop,lima bean,20 cm in row and 75 cm between rows,NA,NA,NA,NA
4022,2016-3,2,1;2;3,NA,NA,NA,NA,monocrop,dolichos,20 cm in row and 75 cm between rows,NA,NA,NA,NA
